score,avg_t_sim_s,avg_throughput,avg_completitud,avg_reubicaciones,avg_rechazadas_full,runs,w_shuttle,w_x,w_depth,w_lane_fill,w_pop,w_close_pallet,trial
8025.05,10481.55,110.48,80.45,991.75,0.0,4,1.0,0.9,0.35,0.3,0.35,2.5,1
7998.4,10459.55,110.8075,80.575,999.0,0.0,4,1.2,0.8,0.3,0.2,0.4,3.2,2
8054.05,10499.95,110.075,80.475,998.5,0.0,4,0.7,1.3,0.55,0.35,0.55,4.0,3
8047.7,10497.35,110.3025,80.25,996.0,0.0,4,0.17253119,0.89758502,0.44642148,1.47294243,1.69174872,8.92179568,4
8008.85,10464.55,110.635,80.475,1002.0,0.0,4,1.13491239,0.82317696,0.31742233,0.25817793,0.46566365,3.28840574,5
8088.15,10532.85,109.96,80.25,991.25,0.0,4,1.68033029,0.7392778,1.17853137,1.61886091,0.0162469,8.05819252,6
8041.55,10495.45,110.365,80.4,991.5,0.0,4,1.0867265,0.55089055,1.91442614,0.67318909,0.23186461,0.96716377,7
8055.45,10500.85,110.07,80.475,999.5,0.0,4,1.85080549,2.44067199,1.45946357,1.07245618,2.43278941,3.78534377,8
